query_name,filename,query,peak_area,peak_area_alt,peak_intensity,fwhm,rtmin,rtmax,measured_RT,rt_error,datapoint_count,query_duplicate,mslevel,rtmin_duplicate,rtmax_duplicate,group,peak_valid,abundance_error,abundance_valid,imputed
L-Carnitine,ms_blank_01.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,174.2608979207138,3603.268516755987,15957.7607421875,0.010258781690691776,0.35,0.65,0.468441044364748,0.0,9.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1.0,0.35,0.65,,True,,False,False
L-Carnitine,ms_data_01.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1483423.3392596527,1655285.2374249566,48260056.0,0.028876534768083106,0.35,0.65,0.48566055000024144,0.0,58.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1.0,0.35,0.65,,True,,False,False
L-Carnitine,ms_data_02.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1626517.558651874,1815852.4764511895,54140896.0,0.028222865559098198,0.35,0.65,0.488969411677859,0.0,57.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1.0,0.35,0.65,,True,,False,False
L-Carnitine,ms_data_03.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1572377.0409210778,1738301.726890254,52620136.0,0.028071945850020374,0.35,0.65,0.48655541659828677,0.0,61.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1.0,0.35,0.65,,True,,False,False
L-Carnitine,ms_data_04.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1484924.4074333697,1662257.9366900907,48616484.0,0.028693834469681045,0.35,0.65,0.4877750514215413,0.0,58.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65,1.0,0.35,0.65,,True,,False,False
Malonyl-L-carnitine,ms_blank_01.mzML,,,,,,,,,,,,,,,,False,,False,True
Malonyl-L-carnitine,ms_data_01.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,119196.08996035595,153705.8162628929,3547527.25,0.0315648739228136,0.55,0.85,0.673810519623367,0.0,33.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,1.0,0.55,0.85,,True,,False,False
Malonyl-L-carnitine,ms_data_02.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,117838.24235293777,190810.40305288383,3870179.0,0.028603751331086724,0.55,0.85,0.6748743385122087,0.0,38.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,1.0,0.55,0.85,,True,,False,False
Malonyl-L-carnitine,ms_data_03.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,118864.2910517523,154389.5356707374,3518959.0,0.03173255105280326,0.55,0.85,0.6740117153262288,0.0,34.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,1.0,0.55,0.85,,True,,False,False
Malonyl-L-carnitine,ms_data_04.mzML,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,124025.00010717526,165870.69913153292,3921535.0,0.029711250464781958,0.55,0.85,0.6741153474213553,0.0,33.0,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85,1.0,0.55,0.85,,True,,False,False
